team_id,team_name,abbreviation,avg_elo,top5_elo,max_elo,roll10_plus_minus,roll10_pts,win_rate_l5,win_rate_l20
1610612737,Atlanta Hawks,ATL,1280.2858789689153,1430.4014480304193,1441.921796531278,1.6,122.3,0.6,0.55
1610612738,Boston Celtics,BOS,1384.1128261759488,1486.1738379434812,1495.0395546719797,12.3,115.8,0.8,0.85
1610612751,Brooklyn Nets,BKN,1150.7257579357315,1226.3294259300133,1416.082924243941,-14.5,103.3,0.2,0.25
1610612766,Charlotte Hornets,CHA,1187.3223395377358,1407.9914109408473,1415.674534303239,-15.9,101.9,0.0,0.25
1610612741,Chicago Bulls,CHI,1265.5130368733044,1421.2287673002472,1460.4529495881372,3.7,122.1,0.8,0.7
1610612739,Cleveland Cavaliers,CLE,1324.2146618763059,1439.868008574072,1463.5990461929564,5.2,120.1,0.6,0.65
1610612742,Dallas Mavericks,DAL,1269.1809128723364,1429.5167769864365,1450.7134969631331,-3.5,109.9,0.4,0.35
1610612743,Denver Nuggets,DEN,1331.844972486233,1441.3607797245575,1457.9757080031645,3.0,120.1,0.4,0.5
1610612765,Detroit Pistons,DET,1256.7920365132659,1415.3290463482022,1418.6923036558842,0.7,116.9,0.4,0.5
1610612744,Golden State Warriors,GSW,1296.8397845537124,1434.562385905232,1458.1528415609125,10.4,116.3,0.6,0.75
1610612745,Houston Rockets,HOU,1301.4668991279173,1425.9041743634848,1440.9182497466195,6.0,119.9,0.6,0.75
1610612754,Indiana Pacers,IND,1294.4526152374724,1429.6349698244853,1445.5742740303285,7.4,122.0,0.8,0.7
1610612746,LA Clippers,LAC,1335.0726716200693,1473.9150362149353,1505.1759696147342,14.2,119.6,1.0,0.85
1610612747,Los Angeles Lakers,LAL,1289.4000678718655,1431.1949900900895,1465.9563477571637,7.8,121.3,0.8,0.5
1610612763,Memphis Grizzlies,MEM,1240.1647454631961,1332.1833014851286,1410.852932365899,-0.6,117.6,0.6,0.45
1610612748,Miami Heat,MIA,1298.6510014046362,1423.0633842958803,1431.6747003437315,15.1,120.0,0.4,0.4
1610612749,Milwaukee Bucks,MIL,1329.2404289404426,1453.0180789264557,1497.0635919676565,3.1,121.0,1.0,0.55
1610612750,Minnesota Timberwolves,MIN,1317.9849965890182,1450.1918101523406,1479.0034352249509,11.5,120.4,0.8,0.8
1610612740,New Orleans Pelicans,NOP,1233.8823830940537,1415.7750936547823,1418.867930701697,-12.0,107.7,0.0,0.2
1610612752,New York Knicks,NYK,1325.291223993713,1427.1678914270456,1435.4392981891554,2.1,110.7,0.4,0.5
1610612760,Oklahoma City Thunder,OKC,1393.399788399078,1466.5384971125739,1512.2148621802692,12.4,125.8,0.6,0.85
1610612753,Orlando Magic,ORL,1270.0625046636171,1371.6790236609856,1428.0057939902756,9.5,109.8,1.0,0.6
1610612755,Philadelphia 76ers,PHI,1216.8244524569516,1425.4870098967842,1428.0440353905476,-9.8,106.7,0.2,0.15
1610612756,Phoenix Suns,PHX,1280.8193635278292,1431.6366158898472,1447.7353824302638,-15.8,107.6,0.2,0.4
1610612757,Portland Trail Blazers,POR,1201.7564876622657,1273.7570407093285,1417.863099088153,-5.7,111.1,0.4,0.4
1610612758,Sacramento Kings,SAC,1296.9594619718764,1430.7095972907669,1433.157964032123,-0.1,113.2,0.6,0.35
1610612759,San Antonio Spurs,SAS,1219.8862453054496,1385.6680428909483,1447.7369362409797,-9.7,110.2,0.2,0.35
1610612761,Toronto Raptors,TOR,1207.3347315853914,1345.7966746332786,1412.0387302081108,4.6,113.7,0.4,0.55
1610612762,Utah Jazz,UTA,1166.186113561916,1370.9259755716237,1426.4660739638532,-22.3,109.8,0.2,0.1
1610612764,Washington Wizards,WAS,1176.2882836051683,1415.8880213320806,1435.5453720974567,-17.3,102.7,0.0,0.25
